Designator,Footprint,Quantity,Value,LCSC Part #
C11,0603,1,22 uF,C59461
"C12, C14",0805,2,22 uF,C45783
C13,1206,1,100 uF,C15008
C15,0402,1,100 nF,C1525
C16,0402,1,4.7 nF,C1538
"C17, C18",0402,2,10uF,C15525
D4,D_SOD-123,1,D_Zener,C22395539
D5,D_SMA,1,SS34,C8678
"D6, D7",0603,2,LED,C2286
D8,D_SMA,1,SS14,C2480
F2,1206,1,Polyfuse_Small,C207041
"J2, J6, J8",HANDSON_KF301-2P,3,KF301-2P,
JUSB1,USB_TYPE_18,1,~,C2927038
L2,L_APV_APH0630,1,15 uH,C5349699 
Q2,SOT-23,1,AO3401A,C15127
R10,0603,1,56 KΩ,C23206
R11,0402,1,100K,C25741
"R12, R15",0603,2,3 KΩ,C4211
R13,0402,1,1 KΩ,C11702
R14,0402,1,2K,C4109
TP2,TestPoint_Pad_D1.0mm,1,TestPoint,
U2,SOT-23-6,1,MT3608,C84817 
U3,SOT-23-5,1,~,C32574
