Designator,Mid X,Mid Y,Rotation,Layer
C11,134.8431,-109.8662,90.0,top
C12,145.6436,-118.2142,90.0,top
C13,132.6841,-110.6862,90.0,top
C14,147.9296,-118.2142,90.0,top
C15,134.9756,-107.0382,180.0,top
C16,137.0076,-102.3392,0.0,top
C17,143.1036,-102.4662,270.0,top
C18,147.5232,-100.5612,0.0,top
D4,139.2936,-104.4982,90.0,top
D5,142.5956,-119.2302,270.0,top
D6,141.7066,-103.1012,90.0,top
D7,132.5,-100.5,90.0,top
D8,146.4056,-110.8482,90.0,top
F2,132.4356,-104.3712,270.0,top
J2,154.5336,-118.3412,90.0,top
J6,125.4321,-117.3532,270.0,top
J8,154.4066,-105.2517,90.0,top
JUSB1,126.5711,-105.7622,270.0,top
L2,135.9916,-119.2302,0.0,top
Q2,135.9916,-104.7522,180.0,top
R10,141.8082,-109.8662,90.0,top
R11,134.9756,-102.3392,0.0,top
R12,143.7132,-109.8662,270.0,top
R13,137.25,-99.5,180.0,top
R14,145.2626,-105.2602,180.0,top
R15,141.7066,-106.2892,270.0,top
U2,137.8911,-110.0862,0.0,top
U3,145.8976,-102.9742,0.0,top
